,"Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV"
"Country","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","12 000 [4700-43 000]","11 000 [4500-38 000]","10 000 [4300-33 000]","9200 [4100-28 000]","8400 [3900-24 000]","7600 [3600-21 000]","6900 [3300-18 000]","6300 [3100-16 000]","5600 [2700-14 000]","5100 [2500-12 000]","4600 [2300-11 000]","4200 [2100-9600]","3800 [2000-8900]","3500 [1800-8300]","3200 [1700-7900]","2900 [1500-7200]","2600 [1400-7000]","2300 [1300-5700]","2000 [1100-4800]","1800 [970-4100]","1500 [860-3600]"
"Albania","1400 [1200-1700]","1400 [1200-1600]","1300 [1100-1500]","1300 [1100-1400]","1200 [1000-1300]","1100 [920-1200]","1000 [840-1100]","910 [770-1000]","810 [690-930]","720 [610-830]","630 [540-740]","550 [<500-640]","<500 [<500-550]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<200-<500]","<200 [<200-<500]","<200 [<200-<200]","<200 [<100-<200]","<100 [<100-<200]"
"Algeria","18 000 [17 000-20 000]","17 000 [16 000-18 000]","15 000 [14 000-17 000]","14 000 [13 000-15 000]","12 000 [11 000-14 000]","11 000 [10 000-12 000]","9400 [8700-10 000]","8200 [7500-8900]","7300 [6700-7900]","6500 [5900-7000]","5800 [5300-6200]","5200 [4800-5600]","4700 [4400-5100]","4300 [4000-4700]","3900 [3600-4300]","3500 [3200-3900]","3200 [2900-3500]","2800 [2600-3200]","2500 [2300-2800]","2200 [2000-2500]","2000 [1800-2200]"
"Angola","340 000 [280 000-400 000]","340 000 [280 000-390 000]","330 000 [280 000-390 000]","320 000 [270 000-380 000]","320 000 [270 000-370 000]","310 000 [260 000-360 000]","300 000 [250 000-340 000]","290 000 [240 000-330 000]","270 000 [230 000-320 000]","260 000 [210 000-310 000]","250 000 [200 000-290 000]","230 000 [190 000-270 000]","220 000 [180 000-260 000]","200 000 [160 000-240 000]","190 000 [150 000-220 000]","170 000 [140 000-200 000]","150 000 [120 000-190 000]","140 000 [110 000-170 000]","120 000 [97 000-150 000]","110 000 [83 000-130 000]","92 000 [70 000-120 000]"
"Argentina","140 000 [130 000-150 000]","140 000 [120 000-150 000]","130 000 [120 000-140 000]","130 000 [120 000-140 000]","120 000 [110 000-130 000]","120 000 [110 000-130 000]","120 000 [110 000-130 000]","110 000 [100 000-120 000]","110 000 [99 000-120 000]","100 000 [95 000-110 000]","100 000 [92 000-110 000]","96 000 [88 000-100 000]","92 000 [84 000-98 000]","88 000 [80 000-94 000]","84 000 [76 000-90 000]","80 000 [73 000-86 000]","76 000 [69 000-82 000]","72 000 [65 000-77 000]","68 000 [61 000-73 000]","64 000 [57 000-69 000]","59 000 [53 000-64 000]"
"Armenia","4800 [4200-5600]","4500 [4000-5300]","4400 [3900-5000]","4200 [3700-4800]","4100 [3600-4700]","4000 [3500-4600]","3900 [3500-4600]","3900 [3400-4600]","3900 [3400-4700]","3900 [3300-4800]","3900 [3300-4800]","3800 [3200-4800]","3800 [3200-4900]","3700 [3100-4800]","3500 [2800-4700]","3200 [2500-4500]","2800 [2100-4300]","2400 [1700-3900]","1900 [1200-3300]","1500 [850-3000]","1100 [530-2600]"
"Australia","30 000 [24 000-34 000]","29 000 [23 000-33 000]","28 000 [23 000-32 000]","27 000 [22 000-31 000]","26 000 [22 000-30 000]","26 000 [21 000-29 000]","25 000 [20 000-28 000]","24 000 [19 000-27 000]","23 000 [19 000-25 000]","22 000 [18 000-24 000]","21 000 [17 000-23 000]","20 000 [16 000-22 000]","19 000 [16 000-21 000]","18 000 [15 000-20 000]","17 000 [14 000-20 000]","17 000 [14 000-19 000]","16 000 [13 000-18 000]","16 000 [13 000-18 000]","15 000 [12 000-17 000]","14 000 [12 000-17 000]","14 000 [11 000-16 000]"
"Austria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Azerbaijan","9900 [7600-13 000]","9800 [7500-13 000]","9600 [7200-13 000]","9400 [7000-13 000]","9300 [7100-13 000]","9100 [7000-13 000]","9100 [6900-13 000]","8900 [6700-13 000]","8800 [6500-12 000]","8700 [6400-12 000]","8600 [6200-12 000]","8500 [6100-12 000]","8300 [5900-12 000]","8100 [5600-12 000]","7800 [5300-12 000]","7500 [4600-11 000]","7000 [3800-11 000]","6500 [3200-11 000]","5800 [2600-10 000]","5000 [1700-9200]","4100 [1200-9200]"
